schooljaar,grade_year_secondary,outflow_position,gender,belgian_nonbelgian,eu_noneu,age_category,household_language_dutch,mother_education_level,school_progress,grade_secondary_education,school_year_level,field_of_study,residence_merged_municipality_name,residence_province_name,residence_central_city,target
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Personal care,Haacht,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,Personal care,Kortemark,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,17-18,Ned with at least one,No primary education,No academic delay,3,2,General secondary education,Antwerpen,Antwerpen,Yes,dropout
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,17-18,Ned with at least one,No primary education,No academic delay,3,2,General secondary education,Antwerpen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,17-18,Ned with at least one,No primary education,No academic delay,3,2,General secondary education,Antwerpen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Trade,Hasselt,Limburg,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Trade,Hasselt,Limburg,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,20-21,Ned with at least one,Higher education,More than 2 years of academic delay,3,2,Chemistry,Halle,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,20-21,Ned with at least one,No primary education,More than 2 years of academic delay,3,2,Mechanics-electricity,Willebroek,Antwerpen,No,dropout
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Primary education,No academic delay,3,2,Personal care,Antwerpen,Antwerpen,Yes,dropout
2022-2023,3rd Grade - 2nd Year,bso,Female,Non-Belgian,EU,17-18,Ned with no one,Primary education,No academic delay,3,2,Personal care,Antwerpen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Lower secondary education,No academic delay,3,2,Trade,Kortrijk,West Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Lower secondary education,No academic delay,3,2,Trade,Kortrijk,West Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,18-19,Ned with no one,No primary education,1 year academic delay,3,2,General secondary education,Oostende,West Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,19-20,Exclusively Ned with everyone,Lower secondary education,2 years academic delay,3,2,Body care,Sint-Niklaas,East Flanders,Yes,enroll
2022-2023,,dbso,Male,Non-Belgian,Non-EU,17-18,,No primary education,,,/, (modernisering SO),Leuven,Flemish Brabant,Yes,dropout
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Power supply,Koksijde,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Power supply,Koksijde,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Ned with no one,Lower secondary education,No academic delay,3,2,Trade,Gent,East Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Lower secondary education,No academic delay,3,2,General secondary education,Zottegem,East Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,<17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Zaventem,Flemish Brabant,No,enroll
2022-2023,,buso OV3,Female,Belgian,EU,17-18,,,,,5, (modernisering SO),Gent,East Flanders,Yes,enroll
2022-2023,,buso OV3,Female,Belgian,EU,17-18,,,,,5, (modernisering SO),Gent,East Flanders,Yes,enroll
2022-2023,,buso OV3,Female,Belgian,EU,17-18,,,,,5, (modernisering SO),Gent,East Flanders,Yes,enroll
2022-2023,,buso OV3,Female,Belgian,EU,17-18,,,,,5, (modernisering SO),Gent,East Flanders,Yes,enroll
2022-2023,,buso OV3,Female,Belgian,EU,17-18,,,,,5, (modernisering SO),Gent,East Flanders,Yes,enroll
2022-2023,,buso OV3,Female,Belgian,EU,17-18,,,,,5, (modernisering SO),Gent,East Flanders,Yes,enroll
2022-2023,,buso OV3,Female,Belgian,EU,17-18,,,,,5, (modernisering SO),Gent,East Flanders,Yes,enroll
2022-2023,,buso OV3,Female,Belgian,EU,17-18,,,,,5, (modernisering SO),Gent,East Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Ned with at least one,Higher education,No academic delay,3,2,General secondary education,Evergem,East Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Ned with no one,Primary education,No academic delay,3,2,Trade,Wetteren,East Flanders,No,enroll
2022-2023,3rd Grade - 1st Year,bso,Female,Non-Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,1,Personal care,Maasmechelen,Limburg,No,dropout
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,Higher education,1 year academic delay,3,2,Chemistry,Anzegem,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,Higher education,1 year academic delay,3,2,Chemistry,Anzegem,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,Wood,Boom,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,Lower secondary education,1 year academic delay,3,2,Personal care,Bree,Limburg,No,enroll
2022-2023,3rd Grade - 1st Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,1 year academic delay,3,1,General secondary education,Genk,Limburg,Yes,dropout
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Decorative techniques,Pelt,Limburg,No,enroll
2022-2023,,buso OV3,Female,Belgian,EU,17-18,,,,,5, (modernisering SO),Opwijk,Flemish Brabant,No,enroll
2022-2023,,buso OV3,Female,Belgian,EU,17-18,,,,,5, (modernisering SO),Opwijk,Flemish Brabant,No,enroll
2022-2023,,buso OV3,Female,Belgian,EU,17-18,,,,,5, (modernisering SO),Opwijk,Flemish Brabant,No,enroll
2022-2023,,buso OV3,Female,Belgian,EU,17-18,,,,,5, (modernisering SO),Opwijk,Flemish Brabant,No,enroll
2022-2023,,buso OV3,Female,Belgian,EU,17-18,,,,,5, (modernisering SO),Opwijk,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,18-19,Ned with no one,Primary education,1 year academic delay,3,2,Trade,Genk,Limburg,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Non-Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Agriculture and horticulture,Tongeren-Borgloon,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Trade,Kapellen,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Trade,Kapellen,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Trade,Kapellen,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Power supply,De Panne,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Brussel,Brussels-Capital Region,No,dropout
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Brussel,Brussels-Capital Region,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Brussel,Brussels-Capital Region,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Brussel,Brussels-Capital Region,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Brussel,Brussels-Capital Region,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Brussel,Brussels-Capital Region,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Brussel,Brussels-Capital Region,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Brussel,Brussels-Capital Region,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Brussel,Brussels-Capital Region,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Brussel,Brussels-Capital Region,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Brussel,Brussels-Capital Region,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Brussel,Brussels-Capital Region,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Brussel,Brussels-Capital Region,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Brussel,Brussels-Capital Region,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Brussel,Brussels-Capital Region,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Brussel,Brussels-Capital Region,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Brussel,Brussels-Capital Region,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Brussel,Brussels-Capital Region,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Brussel,Brussels-Capital Region,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Brussel,Brussels-Capital Region,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Personal care,Zottegem,East Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Personal care,Zottegem,East Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Personal care,Zottegem,East Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,General secondary education,Diksmuide,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Higher education,1 year academic delay,3,2,Mechanics-electricity,Torhout,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,18-19,Ned with at least one,Higher education,1 year academic delay,3,2,Mechanics-electricity,Tienen,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,Higher education,1 year academic delay,3,2,Personal care,Beveren-Kruibeke-Zwijndrecht,East Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,Lower secondary education,1 year academic delay,3,2,Agriculture and horticulture,Kortrijk,West Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Agriculture and horticulture,Tongeren-Borgloon,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Mechanics-electricity,Mol,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Mechanics-electricity,Mol,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Mechanics-electricity,Mol,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Mechanics-electricity,Mol,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Mechanics-electricity,Mol,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Mechanics-electricity,Mol,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Mechanics-electricity,Mol,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,18-19,Ned with at least one,Lower secondary education,1 year academic delay,3,2,General secondary education,Anderlecht,Brussels-Capital Region,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,Agriculture and horticulture,Kortrijk,West Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Chemistry,Lier,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Chemistry,Lier,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Chemistry,Lier,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Personal care,Herentals,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Personal care,Herentals,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Personal care,Herentals,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Trade,Kortrijk,West Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Trade,Kortrijk,West Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,Body care,De Panne,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Roeselare,West Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Roeselare,West Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Roeselare,West Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Roeselare,West Flanders,Yes,enroll
2022-2023,3rd Grade - 1st Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,1,Personal care,Lier,Antwerpen,No,dropout
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Graphic communication and media,Hasselt,Limburg,Yes,enroll
